,2P%,FT%,TRB,AST,STL,PTS,Pos
0,0.604,0.765,886,371,81,2034,1.0
1,0.483,0.683,191,87,35,362,2.0
2,0.533,0.797,609,322,108,1118,1.0
3,0.488,0.83,197,671,106,1131,3.0
4,0.441,0.385,28,26,7,38,4.0
5,0.502,0.753,638,159,90,1277,5.0
6,0.506,0.665,456,279,85,908,5.0
7,0.458,0.935,236,268,80,866,5.0
8,0.504,0.718,29,31,14,180,4.0
9,0.486,0.702,453,178,73,698,1.0
10,0.495,0.68,333,127,54,492,1.0
11,0.464,0.75,120,51,19,206,1.0
12,0.348,0.667,63,139,58,244,3.0
13,0.418,0.79,208,307,62,739,3.0
14,0.481,0.836,852,370,143,1745,2.0
15,0.511,0.694,331,202,136,1858,4.0
16,0.446,0.893,227,309,97,1004,4.0
17,0.451,0.894,216,302,92,970,4.0
18,0.566,0.755,442,161,29,903,2.0
19,0.534,0.829,114,46,5,203,2.0
20,0.574,0.729,328,115,24,700,2.0
21,0.477,0.765,133,95,59,546,4.0
22,0.34,0.667,6,3,3,41,5.0
23,0.452,0.782,223,252,211,688,4.0
24,0.413,0.87,167,223,93,700,3.0
25,0.503,0.483,257,75,42,194,2.0
26,0.471,0.84,214,216,98,1286,4.0
27,0.484,0.865,301,237,94,1423,5.0
28,0.482,0.811,512,341,88,953,5.0
29,0.483,0.837,155,174,65,960,4.0
30,0.446,0.742,516,144,102,754,2.0
31,0.468,0.734,238,383,135,719,3.0
32,0.356,0.575,72,20,8,95,1.0
33,0.475,0.664,233,320,132,626,3.0
34,0.458,0.897,84,134,27,306,3.0
35,0.466,0.738,165,150,39,909,4.0
36,0.495,0.658,588,77,66,929,2.0
37,0.496,0.655,571,76,64,913,2.0
38,0.485,0.739,330,156,120,914,5.0
39,0.429,0.75,13,3,4,36,4.0
40,0.399,0.629,410,82,23,233,1.0
41,0.361,0.762,73,38,31,167,4.0
42,0.541,0.779,274,556,183,898,3.0
43,0.389,0.731,78,89,33,326,4.0
44,0.389,0.756,43,42,18,202,4.0
45,0.388,0.692,35,47,15,124,4.0
46,0.491,0.74,564,151,56,869,1.0
47,0.494,0.743,152,288,57,519,3.0
48,0.443,0.8,19,40,13,75,3.0
49,0.503,0.735,133,248,44,444,3.0
50,0.467,0.911,94,100,30,495,4.0
51,0.474,0.806,241,84,28,362,2.0
52,0.534,0.776,229,221,86,722,4.0
53,0.491,0.751,507,42,20,871,2.0
54,0.497,0.733,156,80,61,427,5.0
55,0.375,0.571,19,12,7,68,5.0
56,0.458,0.779,534,206,69,940,1.0
57,0.442,0.811,116,246,74,671,3.0
58,0.455,0.809,246,178,29,783,5.0
59,0.577,0.842,516,191,96,1903,5.0
60,0.565,0.813,17,50,13,83,3.0
61,0.6,0.833,15,45,10,76,3.0
62,0.44,0.864,226,440,110,1300,3.0
63,0.565,0.819,272,337,114,1613,5.0
64,0.526,0.653,693,149,49,1178,1.0
65,0.475,0.688,125,77,33,316,5.0
66,0.1,0.714,6,6,0,10,4.0
67,0.46,0.763,363,216,89,545,1.0
68,0.487,0.676,501,121,30,567,1.0
69,0.455,0.757,471,101,91,1559,5.0
70,0.49,0.682,98,117,41,624,4.0
71,0.485,0.828,100,210,40,410,3.0
72,0.438,0.757,324,147,102,564,4.0
73,0.512,0.681,578,127,55,1287,1.0
74,0.446,0.684,185,53,29,307,2.0
75,0.459,0.755,116,30,10,162,2.0
76,0.498,0.789,605,224,73,1318,5.0
77,0.507,0.814,380,142,45,806,5.0
78,0.483,0.762,225,82,28,512,5.0
79,0.523,0.787,576,355,170,2100,5.0
80,0.459,0.571,75,37,14,157,2.0
81,0.464,0.682,107,230,60,486,4.0
82,0.477,0.754,181,215,111,816,4.0
83,0.48,0.849,185,65,22,308,5.0
84,0.512,0.821,98,36,11,155,5.0
85,0.451,0.88,87,29,11,153,5.0
86,0.469,0.818,172,610,136,1328,3.0
87,0.4,1.0,3,8,2,10,3.0
88,0.476,0.753,238,283,81,2055,4.0
89,0.481,0.872,194,293,73,1055,4.0
90,0.428,0.863,42,72,19,177,4.0
91,0.493,0.876,152,221,54,878,4.0
92,0.464,0.808,152,312,123,441,3.0
93,0.442,0.692,138,145,54,334,3.0
94,0.458,0.66,177,43,41,385,5.0
95,0.54,0.852,403,202,110,2585,4.0
96,0.386,0.828,242,59,51,470,5.0
97,0.525,0.863,66,85,35,441,4.0
98,0.521,0.76,259,81,68,390,5.0
99,0.439,0.571,113,28,13,162,1.0
100,0.476,0.81,773,182,60,1334,2.0
101,0.417,0.867,187,177,56,912,5.0
102,0.476,0.833,249,228,60,538,5.0
103,0.443,0.771,232,109,56,474,5.0
104,0.404,0.687,107,192,48,333,3.0
105,0.507,0.773,399,104,47,420,2.0
106,0.469,0.828,94,104,46,523,4.0
107,0.504,0.824,496,144,74,761,2.0
108,0.456,0.699,896,129,62,1859,2.0
109,0.489,0.772,346,93,35,736,2.0
110,0.419,0.744,380,97,84,406,2.0
111,0.503,0.69,83,147,45,473,3.0
112,0.48,0.727,111,274,55,364,3.0
113,0.453,0.674,173,119,71,409,3.0
114,0.412,0.849,138,424,107,479,3.0
115,0.461,0.938,17,22,15,106,4.0
116,0.399,0.642,20,50,30,199,3.0
117,0.422,0.77,69,112,46,329,4.0
118,0.468,0.75,320,70,48,585,2.0
119,0.406,0.737,58,159,39,219,3.0
120,0.506,0.775,719,198,88,1951,1.0
121,0.659,0.7,24,12,5,65,2.0
122,0.515,0.789,270,95,40,737,5.0
123,0.431,0.78,414,332,144,1540,4.0
124,0.488,0.828,200,370,120,1465,4.0
125,0.458,0.706,602,173,53,585,1.0
126,0.48,0.783,584,157,84,768,2.0
127,0.54,0.81,596,563,187,1387,4.0
128,0.546,0.791,566,273,100,1671,5.0
129,0.471,0.799,681,344,153,1566,2.0
130,0.506,0.882,163,161,59,607,5.0
131,0.395,0.795,55,54,19,121,4.0
132,0.534,0.781,450,146,102,1053,2.0
133,0.438,0.697,950,164,43,588,1.0
134,0.481,0.565,381,67,50,438,2.0
135,0.439,0.779,270,557,223,1087,3.0
136,0.514,0.816,66,47,29,351,5.0
137,0.476,0.787,515,178,78,702,1.0
138,0.47,0.788,397,128,50,569,1.0
139,0.479,0.719,276,108,60,709,5.0
140,0.488,0.783,775,231,111,1565,2.0
141,0.516,0.726,566,106,69,673,2.0
142,0.539,0.809,361,155,82,986,5.0
143,0.53,0.808,493,150,117,1549,5.0
144,0.472,0.8,151,75,26,190,1.0
145,0.364,0.714,14,16,7,29,3.0
146,0.424,0.693,105,16,8,186,2.0
147,0.448,0.741,645,460,111,743,1.0
148,0.416,0.723,352,56,47,403,2.0
149,0.54,0.782,552,184,74,1210,1.0
150,0.551,0.781,373,122,38,802,1.0
151,0.518,0.785,179,62,36,408,1.0
152,0.513,0.814,184,417,127,843,3.0
153,0.37,0.629,123,241,99,292,3.0
154,0.33,0.529,33,67,15,67,3.0
155,0.392,0.66,90,174,84,225,3.0
156,0.51,0.825,337,206,129,1337,4.0
157,0.477,0.768,220,602,138,1010,3.0
158,0.459,0.749,537,208,42,923,2.0
159,0.441,0.73,325,125,23,588,2.0
160,0.498,0.775,212,83,19,335,2.0
161,0.505,0.745,71,53,24,234,4.0
162,0.429,0.5,22,20,4,51,4.0
163,0.531,0.879,49,33,20,183,4.0
164,0.504,0.719,1190,147,80,2119,1.0
165,0.443,0.867,78,83,24,589,4.0
166,0.403,0.82,40,54,15,290,4.0
167,0.49,0.909,38,29,9,299,4.0
168,0.453,0.837,218,104,45,672,5.0
169,0.489,0.73,467,200,73,1222,2.0
170,0.441,0.767,99,227,46,593,3.0
171,0.465,0.798,50,162,25,422,3.0
172,0.39,0.698,49,65,21,171,3.0
173,0.457,0.553,699,333,101,1072,2.0
174,0.463,0.541,462,221,69,703,2.0
175,0.446,0.575,237,112,32,369,2.0
176,0.457,0.805,86,248,58,520,3.0
177,0.501,0.757,220,62,36,463,1.0
178,0.563,0.796,23,38,10,219,4.0
179,0.529,0.645,350,66,37,582,2.0
180,0.482,0.634,448,225,72,955,2.0
181,0.525,0.787,591,93,70,1820,5.0
182,0.518,0.831,290,149,67,937,5.0
183,0.469,0.795,338,133,72,654,4.0
184,0.502,0.897,150,299,143,1520,4.0
185,0.556,0.718,1216,233,45,1082,1.0
186,0.48,0.73,691,169,102,1553,5.0
187,0.481,0.711,513,112,78,1042,5.0
188,0.48,0.77,178,57,24,511,5.0
